,AbdelrahmanHassan_whisper-large-v3-egyptian-arabic,AtlaAI_Selene-1-Mini-Llama-3.1-8B,AtlaAI_Selene-1-Mini-Llama-3.1-8B-GPTQ-W8A8,Byne_whisper-large-v3-arabic,DevQuasar_Qwen2.5-0.5B-GGUF,Emmet-Allen_christAIn-uncensored,Falconsai_nsfw_image_detection,FinGPT_fingpt-forecaster_dow30_llama2-7b_lora,FranckLucas08_Fine-Tuned_Lily,GRMenon_mental-health-mistral-7b-instructv0.2-finetuned-V2,Gensyn_Qwen2.5-0.5B-Instruct,Gensyn_Qwen2.5-1.5B-Instruct,Io2007_gemma-3-1b-big,Irfanuruchi_qwen2.5-1.5b-dsp-finetuned,JunHowie_Qwen3-8B-GPTQ-Int4,KurmaAI_AQUA-1B,LilRg_ECE-1B-merge-PRYMMAL,LunaticPython161_CyberWitch-7B,Marsouuu_MiniQwenMathExpert-ECE-PRYMMAL-Martial,Open-Bee_Bee-8B-RL,Oufei123_openai-whisper-large-v3-LORA-colab,Pista1981_Child-0a24ec-python-0a24ec-015022,QuantFactory_Qwen2.5-Coder-1.5B-Instruct-GGUF,Qwen_Qwen2-7B,Qwen_Qwen2-7B-Instruct,Qwen_Qwen2-7B-Instruct-GGUF,Qwen_Qwen2-7B-Instruct-GPTQ-Int4,Qwen_Qwen2-VL-2B,Qwen_Qwen2-VL-2B-Instruct,Qwen_Qwen2.5-0.5B,Qwen_Qwen2.5-0.5B-Instruct,Qwen_Qwen2.5-1.5B,Qwen_Qwen2.5-1.5B-Instruct,Qwen_Qwen2.5-14B,Qwen_Qwen2.5-14B-Instruct,Qwen_Qwen2.5-14B-Instruct-GPTQ-Int4,Qwen_Qwen2.5-Coder-1.5B,Qwen_Qwen2.5-Coder-1.5B-Instruct,Qwen_Qwen3-8B,Qwen_Qwen3-8B-GGUF,RakshitAi_AtmaLLaMA,RaykieLee_task-17-Qwen-Qwen2.5-0.5B,ResplendentAI_Qwen_Sissification_LoRA_128,ResplendentAI_Qwen_Soul_LoRA_128,ResplendentAI_Qwen_jeiku_LoRA_128,TECHNOPRAVIN01_Qwen2.5-14B-Valor,Tensoic_TinyLlama-1.1B-3T-openhermes,TheBloke_Llama-2-7B-Chat-GPTQ,TheBloke_Mistral-7B-Instruct-v0.2-GGUF,TheBloke_Mistral-7B-Instruct-v0.2-GPTQ,TheBloke_TinyLlama-1.1B-Chat-v1.0-GGUF,TheBloke_TinyLlama-1.1B-Chat-v1.0-GPTQ,TinyLlama_TinyLlama-1.1B-Chat-v1.0,TinyLlama_TinyLlama-1.1B-intermediate-step-1431k-3T,WizardLMTeam_WizardMath-7B-V1.1,amit2-0kr_food-disease-chatbot-recommender-v1,arcee-ai_Virtuoso-Small,bartowski_Meta-Llama-3.1-8B-Instruct-GGUF,bartowski_Qwen2.5-14B-Instruct-GGUF,codelion_gemma-3-1b-it-reasoning-grpo-lora,deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,distilbert_distilgpt2,dphn_Dolphin3.0-Llama3.2-1B,dphn_Dolphin3.0-Qwen2.5-0.5B,dphn_dolphin-2.8-mistral-7b-v02,eiknarf_Qwen2.5-0.5B-Instruct-Gensyn-Swarm-rapid_stocky_stork,facebook_opt-125m,failspy_Meta-Llama-3-8B-Instruct-abliterated-v3,featherless-ai-quants_Gensyn-Qwen2.5-0.5B-Instruct-GGUF,feelconstantfear_Llama-3.2-1B-QPTQ,firdhokk_speech-emotion-recognition-with-openai-whisper-large-v3,gaunernst_gemma-3-1b-it-int4-awq,google_flan-t5-base,google_gemma-3-1b-it,google_gemma-3-1b-pt,grimjim_Llama-3-Instruct-abliteration-LoRA-8B,grimjim_Llama-3.1-8B-Instruct-abliterated_via_adapter,hanad_self_harm_detection,huihui-ai_Qwen2.5-Coder-1.5B-Instruct-abliterated,iqbalamo93_Meta-Llama-3.1-8B-Instruct-GPTQ-Q_8,jeergrvgreg_uplifting-filter-v5,jeiku_Aura_Qwen2_v2_7B,jeiku_dontusethis,jinaai_jina-reranker-m0,lakhera2023_Qwen-model,lamptablet_gpt2-Q8_0-GGUF,lemon07r_Qwen3-R1-SLERP-Q3T-8B,lightonai_MonoQwen2-VL-v0.1,marianoiry_gensyn-checkpoints-sturdy_twitchy_jay,marroyo777_flan-t5-base-Q4_K_M-GGUF,mergekit-community_mergekit-slerp-lxmmvuv,meta-llama_Llama-2-7b-chat-hf,meta-llama_Llama-2-7b-hf,meta-llama_Llama-3.1-8B,meta-llama_Llama-3.1-8B-Instruct,meta-llama_Llama-3.2-1B,meta-llama_Meta-Llama-3-8B,meta-llama_Meta-Llama-3-8B-Instruct,miosipov_asr2_medium_CRSPR_v0.5,mistral-community_Mistral-7B-v0.2,mistralai_Mistral-7B-Instruct-v0.2,mistralai_Mistral-7B-v0.1,monsterapi_gpt2_alpaca-lora,monsterapi_opt125M_alpaca,mradermacher_AtmaLLaMA-GGUF,mradermacher_Dolphin3.0-Qwen2.5-0.5B-GGUF,mradermacher_Qwen2.5-0.5B-i1-GGUF,mradermacher_Qwen2.5-Coder-1.5B-Instruct-abliterated-GGUF,mssongit_Qwen2.5-14B-SFT-LoRA-6e-5,nm-testing_whisper-large-v3.w4a16,nvidia_llama-3.1-nemoguard-8b-content-safety,nyrahealth_CrisperWhisper,openai-community_gpt2,openai_whisper-large-v3,osunlp_UGround-V1-2B,phanerozoic_Tiny-Pirate-1.1b-v0.1,podsni_hades-1B,postbot_distilgpt2-emailgen,prithivMLmods_Bee-8B-RL-abliterated,pszemraj_opt-125m-email-generation,s3nh_TinyLLama-4x1.1B-MoE,segolilylabs_Lily-Cybersecurity-7B-v0.2,smgriffin_pop-lyrics-generator-v1,straino_Qwen2.5-0.5B-Instruct-Q4_K_M-GGUF,svjack_Qwen2-7B_Function_Call_tiny_lora,tahamajs_LLaMA-3-2-LoRA-EmotionTune-Full,tgtgeo_gensyn-checkpoints-jumping_gentle_ant,trumancai_Revela-500M,unsloth_Qwen2-VL-2B-Instruct-unsloth-bnb-4bit,unsloth_Qwen2.5-1.5B-bnb-4bit,unsloth_gemma-3-1b-it-GGUF,v000000_Qwen2.5-Lumen-14B,vanshs613_Qwen2.5-0.5B-Instruct-Gensyn-Swarm-soaring_dappled_hippo,vanta-research_apollo-astralis-8b,victorwkey_vit-food101,wulli_Qwen2.5-0.5B-sft-capybara,ysn-rfd_distilgpt2-Q8_0-GGUF
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
distilbert_distilgpt2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
dphn_Dolphin3.0-Llama3.2-1B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
dphn_Dolphin3.0-Qwen2.5-0.5B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
dphn_dolphin-2.8-mistral-7b-v02,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
eiknarf_Qwen2.5-0.5B-Instruct-Gensyn-Swarm-rapid_stocky_stork,none,none,none,none,none,none,none,none,none,none,peft,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
facebook_opt-125m,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
failspy_Meta-Llama-3-8B-Instruct-abliterated-v3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
featherless-ai-quants_Gensyn-Qwen2.5-0.5B-Instruct-GGUF,none,none,none,none,none,none,none,none,none,none,qtz,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
feelconstantfear_Llama-3.2-1B-QPTQ,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,qtz,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
firdhokk_speech-emotion-recognition-with-openai-whisper-large-v3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
gaunernst_gemma-3-1b-it-int4-awq,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,qtz,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
google_flan-t5-base,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
google_gemma-3-1b-it,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
google_gemma-3-1b-pt,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
grimjim_Llama-3-Instruct-abliteration-LoRA-8B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,peft,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
grimjim_Llama-3.1-8B-Instruct-abliterated_via_adapter,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,merge,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,merge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
hanad_self_harm_detection,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
huihui-ai_Qwen2.5-Coder-1.5B-Instruct-abliterated,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
iqbalamo93_Meta-Llama-3.1-8B-Instruct-GPTQ-Q_8,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,qtz,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
jeergrvgreg_uplifting-filter-v5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,peft,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
jeiku_Aura_Qwen2_v2_7B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,merge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,merge,merge,merge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,merge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
jeiku_dontusethis,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
jinaai_jina-reranker-m0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
lakhera2023_Qwen-model,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,peft,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
lamptablet_gpt2-Q8_0-GGUF,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,qtz,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
lemon07r_Qwen3-R1-SLERP-Q3T-8B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,merge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,merge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
lightonai_MonoQwen2-VL-v0.1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,peft,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
marianoiry_gensyn-checkpoints-sturdy_twitchy_jay,none,none,none,none,none,none,none,none,none,none,none,peft,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
marroyo777_flan-t5-base-Q4_K_M-GGUF,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,qtz,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
mergekit-community_mergekit-slerp-lxmmvuv,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,merge,merge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
meta-llama_Llama-2-7b-chat-hf,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,finetune,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
meta-llama_Llama-2-7b-hf,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
meta-llama_Llama-3.1-8B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
meta-llama_Llama-3.1-8B-Instruct,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,finetune,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
meta-llama_Llama-3.2-1B,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,self,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
